0,What is the Grotto at Notre Dame?,"Immediately behind the basilica is the Grotto, a Marian place of prayer and reflection."
1,What is the Grotto at Notre Dame?,"It is a replica of the grotto at Lourdes, France where the Virgin Mary reputedly appeared to Saint Bernadette Soubirous in 1858."
0,What sits on top of the Main Building at Notre Dame?,Atop the Main Building's gold dome is a golden statue of the Virgin Mary.
1,What sits on top of the Main Building at Notre Dame?,Next to the Main Building is the Basilica of the Sacred Heart.
0,When did the Scholastic Magazine of Notre dame begin publishing?,"Begun as a one-page journal in September 1876, the Scholastic magazine is issued twice monthly and claims to be the oldest continuous collegiate publication in the United States."
1,When did the Scholastic Magazine of Notre dame begin publishing?,"The newspapers have varying publication interests, with The Observer published daily and mainly reporting university and other news, and staffed by students from both Notre Dame and Saint Mary's College."
0,In what year did the student paper Common Sense begin publication at Notre Dame?,"In 1987, when some students believed that The Observer began to show a conservative bias, a liberal newspaper, Common Sense was published."
1,In what year did the student paper Common Sense begin publication at Notre Dame?,"Likewise, in 2003, when other students believed that the paper showed a liberal bias, the conservative paper Irish Rover went into production."
0,What is the oldest structure at Notre Dame?,"Old College, the oldest building on campus and located near the shore of St. Mary lake, houses undergraduate seminarians."
1,What is the oldest structure at Notre Dame?,"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)."
0,What individuals live at Fatima House at Notre Dame?,"Retired priests and brothers reside in Fatima House (a former retreat center), Holy Cross House, as well as Columba Hall near the Grotto."
1,What individuals live at Fatima House at Notre Dame?,"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching."
0,Which prize did Frederick Buechner create?,"While not Catholic, Buechner has praised writers from Notre Dame and Moreau Seminary created a Buechner Prize for Preaching."
1,Which prize did Frederick Buechner create?,"The university is the major seat of the Congregation of Holy Cross (albeit not its official headquarters, which are in Rome)."
0,How many BS level degrees are offered in the College of Engineering at Notre Dame?,"Today the college, housed in the Fitzpatrick, Cushing, and Stinson-Remick Halls of Engineering, includes five departments of study – aerospace and mechanical engineering, chemical and biomolecular engineering, civil engineering and geological sciences, computer science and engineering, and electrical engineering – with eight B.S. degrees offered."
1,How many BS level degrees are offered in the College of Engineering at Notre Dame?,"The College of Engineering was established in 1920, however, early courses in civil and mechanical engineering were a part of the College of Science since the 1870s."
0,What entity provides help with the management of time for new students at Notre Dame?,"The program also includes a Learning Resource Center which provides time management, collaborative learning, and subject tutoring."
1,What entity provides help with the management of time for new students at Notre Dame?,All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program.
0,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""","This program has been recognized previously, by U.S. News & World Report, as outstanding."
1,"Which organization declared the First Year of Studies program at Notre Dame ""outstanding?""",All of Notre Dame's undergraduate students are a part of one of the five undergraduate colleges at the school or are in the First Year of Studies program.
0,The granting of Doctorate degrees first occurred in what year at Notre Dame?,"This changed in 1924 with formal requirements developed for graduate degrees, including offering Doctorate (PhD) degrees."
1,The granting of Doctorate degrees first occurred in what year at Notre Dame?,"The university first offered graduate degrees, in the form of a Master of Arts (MA), in the 1854–1855 academic year."
0,What type of degree is an M.Div.?,"Most of the departments from the College of Arts and Letters offer PhD programs, while a professional Master of Divinity (M.Div.)"
1,What type of degree is an M.Div.?,"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees."
0,Which program at Notre Dame offers a Master of Education degree?,"Additionally, the Alliance for Catholic Education program offers a Master of Education program where students study at the university during the summer and teach in Catholic elementary schools, middle schools, and high schools across the Southern United States for two school years."
1,Which program at Notre Dame offers a Master of Education degree?,"The School of Architecture offers a Master of Architecture, while each of the departments of the College of Engineering offer PhD programs."
0,Which department at Notre Dame is the only one to not offer a PhD program?,"All of the departments in the College of Science offer PhD programs, except for the Department of Pre-Professional Studies."
1,Which department at Notre Dame is the only one to not offer a PhD program?,"The program expanded to include Master of Laws (LL.M.) and Master of Civil Engineering in its early stages of growth, before a formal graduate school education was developed with a thesis not required to receive the degrees."
0,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,"It was founded in 1986 through the donations of Joan B. Kroc, the widow of McDonald's owner Ray Kroc."
1,In what year was the Joan B. Kroc Institute for International Peace Studies founded?,"The Joan B. Kroc Institute for International Peace Studies at the University of Notre Dame is dedicated to research, education and outreach on the causes of violent conflict and the conditions for sustainable peace."
0,How many stories tall is the main library at Notre Dame?,"The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books."
1,How many stories tall is the main library at Notre Dame?,"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown."
0,What is the name of the main library at Notre Dame?,"The main building is the 14-story Theodore M. Hesburgh Library, completed in 1963, which is the third building to house the main collection of books."
1,What is the name of the main library at Notre Dame?,"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown."
0,What is a common name to reference the mural created by Millard Sheets at Notre Dame?,"This mural is popularly known as ""Touchdown Jesus"" because of its proximity to Notre Dame Stadium and Jesus' arms appearing to make the signal for a touchdown."
1,What is a common name to reference the mural created by Millard Sheets at Notre Dame?,The front of the library is adorned with the Word of Life mural designed by artist Millard Sheets.
0,What percentage of students were admitted to Notre Dame in fall 2015?,"Notre Dame is known for its competitive admissions, with the incoming class enrolling in fall 2015 admitting 3,577 from a pool of 18,156 (19.7%)."
1,What percentage of students were admitted to Notre Dame in fall 2015?,"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States."
0,What percentage of students at Notre Dame participated in the Early Action program?,"1,400 of the 3,577 (39.1%) were admitted under the early action plan."
1,What percentage of students at Notre Dame participated in the Early Action program?,"Admitted students came from 1,311 high schools and the average student traveled more than 750 miles to Notre Dame, making it arguably the most representative university in the United States."
0,In 2014 what entity named Notre Dame 10th best of all American universities?,"In 2014, USA Today ranked Notre Dame 10th overall for American universities based on data from College Factual."
1,In 2014 what entity named Notre Dame 10th best of all American universities?,"Forbes.com's America's Best Colleges ranks Notre Dame 13th among colleges in the United States in 2015, 8th among Research Universities, and 1st in the Midwest."
0,What percentage of Notre Dame students decide to study abroad?,"Additionally, the study abroad program ranks sixth in highest participation percentage in the nation, with 57.6% of students choosing to study abroad in 17 countries."
